LAMMPS data file via write_data, version 2 Aug 2023, timestep = 1000000, units = metal

2916 atoms
1 atom types

-1.7004037739234192 48.15030377392721 xlo xhi
-1.7004037739234192 48.15030377392721 ylo yhi
-1.7004037739234192 48.15030377392721 zlo zhi

Masses

1 39.948002

Atoms # atomic

561 1 1.2022672579083928 -0.6067336512677552 2.193712529206986 1 0 0
2323 1 0.8103521220047516 2.927630792482856 1.6763978434891027 0 0 1
423 1 3.7397275897053763 2.2976129418840388 3.0724508683286027 1 1 1
2911 1 8.049440773730572 0.9444245368183135 3.149817287858644 0 1 1
1391 1 6.9569959109818775 -0.49053405886770984 -0.6182492076984434 0 0 -1
2513 1 3.531737733465837 0.34784431649306535 -0.1849350666048868 2 1 1
2756 1 6.638787363678059 3.0639642676099124 -0.5592502674331707 -1 0 0
1065 1 5.0066245139049546 -1.1682223952712367 3.124199982476447 2 1 1
642 1 12.191024656724853 1.6613106514897713 2.9569718256533513 0 2 1
2387 1 10.670605114747142 3.5101244955661954 0.4168792505679444 -1 0 0
2870 1 10.148522611455288 -0.7302637198189079 0.9922553805696128 1 1 -1
510 1 13.81662486511051 0.5382083564582771 -0.01353907486288719 1 0 0
1776 1 17.086105976533002 2.6663733743160494 0.2847314375072698 -1 2 -1
409 1 15.638992819366269 0.4039760045657306 4.527900023122386 0 1 -1
1994 1 16.53414971715269 -1.5570545980273616 0.7678139862190361 -1 1 2
827 1 23.00755853779788 1.5917652936619922 3.139199715403336 1 -1 -2
2102 1 20.75331334198469 2.2889454065563175 0.19622293244249644 2 -1 0
2692 1 19.168715978351663 1.6126731772321556 3.329485508477773 -1 2 1
2134 1 20.136604185216196 -1.1242606012624912 1.3811364412973566 -1 0 1
5 1 23.046392439896863 -0.6360214741913512 -1.0343740293465231 1 1 1
1054 1 1.6251894068156538 8.514151113880889 -1.64840378124782 1 -1 1
626 1 0.9637966150923853 6.7339500753316575 2.0043970837126133 1 1 1
1350 1 3.0198320717168814 4.0948890193650405 -0.7441446692506432 -1 1 1
484 1 -1.5687518447842195 5.270467703028719 4.43880050103422 0 1 1
2231 1 -0.6109697689489422 5.345734430865768 -1.5855227370966034 1 -1 1
1601 1 4.516161423687093 5.683728015637371 2.8076418726828374 0 2 1
1012 1 7.8801499325571935 4.332771375093314 2.6764644605499157 0 -1 0
2117 1 7.618575923170283 8.979483472641434 2.535302160093422 1 0 1
1099 1 5.1487222034503635 7.297636166160229 -0.7968564195419272 -1 1 0
952 1 8.383386418935608 6.515046640925847 0.004583865725273473 0 0 0
2222 1 10.871624566990933 6.271321976003166 3.0671071583055545 1 -1 0
2708 1 11.702192254506778 6.775110202001436 -1.312942239435301 0 1 1
276 1 14.86951382763641 8.06289069747711 0.6848175130971002 0 0 -1
1782 1 14.088569868469254 4.457868782228503 1.3514583172170194 1 2 1
2109 1 17.565162035939995 5.726502046858517 1.8826423687823968 -1 0 1
2753 1 18.125738112694577 8.69108678380315 -0.4518761580692381 -2 0 2
2673 1 14.043298746024954 7.8022073699169745 4.220333014915554 -1 1 1
2869 1 20.42696221432775 5.979590739390199 -0.20617600675280134 0 1 1
2787 1 20.901024018012034 4.819867130985968 4.132310922237509 1 2 1
1679 1 2.3430621430610366 12.652619313747925 -0.13694115416058672 0 0 0
2739 1 -0.18273828917666446 10.64955274701978 2.07501582104153 0 1 2
1025 1 2.1616542921859647 12.13085114768673 4.422462528477352 -1 0 1
879 1 -1.2100880130786922 10.536159314905348 -1.6862473427955795 1 2 0
2819 1 3.7443281388400473 9.924560270403223 1.8787171863595251 0 0 -1
1369 1 5.16212831645293 13.491005833164426 2.4334996559364424 -1 1 1
1416 1 6.360367207577477 10.804067339851558 -0.6531341505313806 1 1 0
85 1 11.770910188272389 9.59861053527519 2.1251068612904978 1 -1 0
1867 1 9.584822532302445 9.978115773506824 -0.557071813509761 1 1 0
569 1 8.734881815872681 12.227818577205701 2.6456153223387764 -1 -1 0
2841 1 11.939399075147717 13.061557743170166 1.7075553980841138 0 -1 1
691 1 8.412950161423236 13.876351083833134 -0.6165923036607179 0 1 0
1457 1 15.508903815460378 13.545317515798917 1.7934026809855377 2 0 0
1333 1 16.645142658915113 10.314462883186833 3.091959319451825 -1 3 0
2145 1 20.65675875345362 9.719547000947014 2.1764245182952813 0 -1 0
1625 1 18.75857319449461 12.296686173246558 0.2444035158277953 0 1 1
1189 1 21.966444685813332 13.458194240816574 2.223639165947236 1 -1 -2
110 1 21.59799969885743 10.786967473715185 -1.2040528897350578 1 0 2
1570 1 18.444400083896216 14.642040287766143 3.8167715140779173 -1 1 1
16 1 -1.2355942608788744 -0.1930340468808016 7.583176809403202 0 -1 0
2671 1 1.2073817415884438 1.0676000856013261 5.737162455016609 0 1 1
1551 1 2.1958216883306405 -1.414292136570915 8.936076537089447 0 0 0
1359 1 -0.34840384470848185 3.408544123053993 7.862321096675389 0 0 0
832 1 0.21710172160614016 1.2279203661128233 10.34951962264823 1 1 -1
78 1 3.355590089568537 3.0066646663780965 8.187252913671703 0 0 -1
1116 1 4.806618014988721 -0.2751152355618378 6.865573278140307 0 1 0
1261 1 6.726133751920299 2.3012147906848135 8.95026451003933 0 -1 0
264 1 5.813810646287579 3.435540541216528 5.726164901788276 0 0 2
2320 1 9.08645180913589 -1.4339878001416648 5.404850579063414 0 0 1
2630 1 9.712260786715103 -0.4721428303611177 8.719541462091055 0 1 0
2823 1 11.44243186610924 2.631231442446526 9.495413762972458 1 1 0
1166 1 12.522798372917366 0.1609922812915323 6.641064990721706 -1 1 1
